full_id,osm_id,osm_type,railway,name,xcoord,ycoord
n7515245054,"7515245054",node,station,Vlissingen Souburg,3.5950865,51.4647139
n7515245055,"7515245055",node,station,Middelburg,3.6181236,51.4952465
n7515245056,"7515245056",node,station,Arnemuiden,3.6695432,51.5015317
n7515245057,"7515245057",node,station,Goes,3.8893972,51.498193
n7515245058,"7515245058",node,station,Kapelle-Biezelinge,3.9566104,51.4805125
n7515262034,"7515262034",node,station,Kruiningen-Yerseke,4.037626,51.4650521
n7515262035,"7515262035",node,station,Krabbendijke,4.1171144,51.4333216
n7515262036,"7515262036",node,station,Rilland-Bath,4.1607921,51.4226196
n7537808626,"7537808626",node,station,Nijmegen Heyendaal,5.8679526,51.8267778
n7537808627,"7537808627",node,station,Mook Molenhoek,5.8789752,51.7665425
n7537810675,"7537810675",node,station,Oss,5.531271,51.7652868
n7537818602,"7537818602",node,station,Cuijk,5.8741958,51.7266248
n7537872516,"7537872516",node,station,Tegelen,6.1433761,51.3392858
n7537872517,"7537872517",node,station,Reuver,6.0794073,51.2829798
n7537872518,"7537872518",node,station,Swalmen,6.0315749,51.2354149
n7537874944,"7537874944",node,station,Geleen Oost,5.8435398,50.9675045
n7537874945,"7537874945",node,station,Geleen-Lutterade,5.8244583,50.9753479
n7537874946,"7537874946",node,station,Echt,5.8788214,51.1001607
n7537897481,"7537897481",node,station,Maastricht Noord,5.7175501,50.8705194
n7537897482,"7537897482",node,station,Bunde,5.7366435,50.8967761
n7537897483,"7537897483",node,station,Houthem-Sint Gerlach,5.7966263,50.8733866
n7537897484,"7537897484",node,station,Voerendaal,5.9294168,50.8868406
n7537918485,"7537918485",node,station,Klimmen-Ransdaal,5.8901666,50.8662625
n7537918486,"7537918486",node,station,Schin op Geul,5.8720575,50.8562824
n7606436203,"7606436203",node,station,Beesd,5.1958729,51.8994088
n7606436204,"7606436204",node,station,Leerdam,5.0927911,51.8946156
